id_propriedade;nome_propriedade;tem_wifi(sim/nao);wifi_nome_rede;wifi_senha;endereco_completo;horario_checkin;horario_checkout;regras_da_casa;contato_recepcao_1;contato_recepcao_2;contato_recepcao_3;foto_url;instrucoes_acesso;lugares_proximos
808;Diamond 808;sim;Apto 808;33321649;Rua XV de Novembro 289;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/6900fdbe141a096411f84244;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
806;Diamond 806;sim;Apto 808;33321649;Rua XV de Novembro 289;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/69b2ad4dc4c372437bdad3c2;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
805;Diamond 805;sim;Apto 808_Ext;33321649;Rua XV de Novembro 289;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/69502f2691cbaa62b63e6ecd;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
305;Diamond 305;sim;Diamond 305;Raimax@1975;Rua XV de Novembro 290;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/6a2c60fbc08a96ffe327e47d;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
702;Diamond 702;sim;eduardo_702;eduardo702;Rua XV de Novembro 291;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/69b2e82e5332df9d943f56ec;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
802;Diamond 802;sim;EDSONWS;20202021;Rua XV de Novembro 292;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/69b2e82e5332df9d943f56ec;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
902;Diamond 902;sim;902 - 905;33321649;Rua XV de Novembro 293;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/6862e0dab1fc59df2c8f5c9a;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
905;Diamond 905;sim;902 - 905;33321649;Rua XV de Novembro 293;14:00h;12:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988464111;553533311495;;https://scarva.stays.net/image/69b2ad4dc4c372437bdad3c2;Olá! Nossa recepção funciona 24 horas por dia. Para acessar o flat, basta se dirigir à recepção e informar seu nome completo e documento de identificação. A equipe já estará ciente da sua chegada e entregará o cartão de acesso. Não temos vaga demarcada no estacionamento. Desejamos uma excelente estadia e ficamos à disposição para o que precisar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
307;Bela Vita 307;sim;307;Rei110877;Rua Paul Harris 55;15:00h;13:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988862263;5535992293822;5535988464111;https://scarva.stays.net/image/6a3999d1c0ff2dfd34cb8d90;Interfone da recepção: pressione a tecla **SENHA** e digite **1222206**, aguarde 3 segundos — a porta abre automaticamente. Pegue o elevador até o 2º andar. Fechadura do apto: "acorde" o teclado passando a mão algumas vezes sobre ele, depois digite a senha de acesso **0112#**. O controle do estacionamento fica no móvel em frente à TV (sem vaga demarcada). No check-out, por favor retire o carro e devolva o controle da garagem ao mesmo local. Qualquer dúvida, é só nos chamar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
205;Bela Vita 205;sim;Apto 206;33321649;Rua Paul Harris 55;15:00h;13:00h;Respeite o número de hóspedes da reserva. Visitas não são permitidas. Silêncio das 22h às 8h. Não é permitido fumar dentro da propriedade, nem festas ou eventos. Qualquer dano deve ser comunicado à recepção. Ao sair, deixe o apartamento organizado. Desejamos uma ótima estadia!;5535988862263;5535992293822;5535988464111;https://scarva.stays.net/image/6a39bffd2e0172616ef8c223;Interfone da recepção: pressione a tecla **SENHA** e digite **1222206**, aguarde 3 segundos — a porta abre automaticamente. Pegue o elevador até o 2º andar. Fechadura do apto: "acorde" o teclado passando a mão algumas vezes sobre ele, depois digite a senha de acesso **2205#**. O controle do estacionamento fica no móvel em frente à TV (sem vaga demarcada). No check-out, por favor retire o carro e devolva o controle da garagem ao mesmo local. Qualquer dúvida, é só nos chamar!;Temos parceria com **Caminhos do Café — Rota dos Cafés Especiais da região**. Você poderá fazer um passeio conhecendo as famosas fazendas de cafés especiais, os mais premiados do mundo, e terminar a experiência degustando um delicioso café com as delícias de Minas na cafeteria Cheirin Bão. Interessados devem entrar em contato pelo WhatsApp da recepção.||**Cheirin Bão Café** — R. Wenceslau Braz, 71, Centro||**Tião Tião Café e Sorveteria** — Av. Comendador Costa, 611, Centro||**Restaurante Casarão (Comida a Quilo)** — Av. Comendador Costa, 717, Centro||**Hamburgueria Lumberjack** — Av. Dr. Getúlio Vargas, 10, Centro||**Parque das Águas** — Al. João Lage, s/n, Centro||**Boulevard Belezinha** — R. Wenceslau Braz, Centro||**Trem das Águas** — Pç. Dr. Ismael de Souza, 9, Centro||**Center Kart** — Rodovia São Lourenço, Km 380, Palmela||**Fazendinha de Minas** — R. Maria da Glória Ensa, 500, São Lourenço Velho||**Calçadão** — Av. Comendador Costa / R. Wenceslau Braz, Centro||**Igreja Matriz** — Praça Frei Egídio de Assis, 2, Centro
